date,city,country,latitude,longitude,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,wind_max_kmh,humidity_pct
2015-07-30,Paris,Europe,48.86,2.35,20.0,10.7,15.9,0.0,14.7,60
2015-07-31,Paris,Europe,48.86,2.35,22.5,8.4,16.5,0.0,13.5,57
2015-08-01,Paris,Europe,48.86,2.35,24.5,12.6,19.1,0.0,12.6,51
2015-08-02,Paris,Europe,48.86,2.35,29.0,11.0,21.2,0.0,13.6,49
2015-08-03,Paris,Europe,48.86,2.35,32.5,17.9,25.7,0.3,14.5,41
2015-08-04,Paris,Europe,48.86,2.35,24.9,17.5,21.2,2.6,16.3,59
2015-08-05,Paris,Europe,48.86,2.35,29.7,13.8,22.4,0.0,13.4,50
2015-08-06,Paris,Europe,48.86,2.35,28.6,17.9,23.5,0.0,15.5,54
2015-08-07,Paris,Europe,48.86,2.35,28.7,16.6,22.8,0.0,20.0,57
2015-08-08,Paris,Europe,48.86,2.35,28.4,18.2,23.2,0.0,15.4,52
2015-08-09,Paris,Europe,48.86,2.35,24.0,19.1,21.4,0.7,12.9,57
2015-08-10,Paris,Europe,48.86,2.35,27.9,14.6,21.8,0.0,13.8,60
2015-08-11,Paris,Europe,48.86,2.35,29.1,17.3,23.2,0.0,19.7,65
2015-08-12,Paris,Europe,48.86,2.35,32.6,20.2,26.3,0.0,16.5,57
2015-08-13,Paris,Europe,48.86,2.35,30.3,19.9,24.7,5.2,17.9,69
2015-08-14,Paris,Europe,48.86,2.35,25.3,17.8,20.3,6.4,19.1,79
2015-08-15,Paris,Europe,48.86,2.35,20.8,15.5,17.5,3.3,23.9,75
2015-08-16,Paris,Europe,48.86,2.35,20.5,12.0,17.1,0.2,10.7,68
2015-08-17,Paris,Europe,48.86,2.35,21.3,14.1,17.5,0.0,14.2,57
2015-08-18,Paris,Europe,48.86,2.35,20.8,11.6,16.9,0.0,8.4,64
2015-08-19,Paris,Europe,48.86,2.35,24.1,13.9,19.3,0.3,11.5,57
2015-08-20,Paris,Europe,48.86,2.35,23.1,15.7,19.1,6.4,9.5,75
2015-08-21,Paris,Europe,48.86,2.35,27.8,15.1,22.0,0.0,8.7,66
2015-08-22,Paris,Europe,48.86,2.35,29.9,15.7,23.4,0.0,15.1,51
2015-08-23,Paris,Europe,48.86,2.35,21.6,17.6,19.9,4.7,15.0,64
2015-08-24,Paris,Europe,48.86,2.35,20.9,13.6,17.0,14.0,41.6,77
2015-08-25,Paris,Europe,48.86,2.35,20.0,11.8,16.8,0.0,26.9,69
2015-08-26,Paris,Europe,48.86,2.35,29.2,16.4,21.9,0.6,28.1,67
2015-08-27,Paris,Europe,48.86,2.35,19.0,14.5,16.2,19.2,19.1,88
2015-08-28,Paris,Europe,48.86,2.35,20.6,14.5,17.3,0.0,8.4,78
2015-08-29,Paris,Europe,48.86,2.35,28.7,14.9,21.7,0.0,9.4,75
2015-08-30,Paris,Europe,48.86,2.35,31.4,19.3,25.0,0.0,14.6,70
2015-08-31,Paris,Europe,48.86,2.35,25.8,18.5,21.8,5.9,16.1,79
2015-09-01,Paris,Europe,48.86,2.35,19.0,14.2,17.1,4.7,17.9,81
2015-09-02,Paris,Europe,48.86,2.35,20.0,9.4,15.0,0.0,11.3,73
2015-09-03,Paris,Europe,48.86,2.35,18.0,9.3,14.5,0.6,14.0,70
2015-09-04,Paris,Europe,48.86,2.35,17.2,9.7,13.8,0.5,13.4,72
2015-09-05,Paris,Europe,48.86,2.35,17.7,9.8,14.1,0.2,13.3,73
2015-09-06,Paris,Europe,48.86,2.35,16.5,10.8,13.9,0.0,12.6,62
2015-09-07,Paris,Europe,48.86,2.35,19.1,7.9,14.1,0.0,13.6,73
2015-09-08,Paris,Europe,48.86,2.35,18.8,11.5,15.1,0.3,16.6,75
2015-09-09,Paris,Europe,48.86,2.35,22.4,10.8,16.5,0.0,17.0,66
2015-09-10,Paris,Europe,48.86,2.35,22.5,11.7,16.7,0.0,14.0,57
2015-09-11,Paris,Europe,48.86,2.35,22.1,8.7,16.1,0.0,10.0,58
2015-09-12,Paris,Europe,48.86,2.35,18.8,14.1,16.9,8.2,14.1,80
2015-09-13,Paris,Europe,48.86,2.35,19.1,12.5,15.1,5.0,18.9,92
2015-09-14,Paris,Europe,48.86,2.35,18.2,12.8,15.2,1.8,29.7,75
2015-09-15,Paris,Europe,48.86,2.35,18.7,11.5,14.9,3.9,25.7,68
2015-09-16,Paris,Europe,48.86,2.35,19.8,14.2,17.5,15.7,32.6,78
2015-09-17,Paris,Europe,48.86,2.35,18.4,13.3,15.8,2.8,25.6,78
2015-09-18,Paris,Europe,48.86,2.35,18.2,10.6,13.8,7.6,22.1,83
2015-09-19,Paris,Europe,48.86,2.35,18.8,10.5,14.3,0.0,13.0,81
2015-09-20,Paris,Europe,48.86,2.35,17.1,7.3,13.0,0.0,8.9,78
2015-09-21,Paris,Europe,48.86,2.35,18.9,11.0,15.1,0.0,17.9,72
2015-09-22,Paris,Europe,48.86,2.35,15.8,10.9,13.6,7.5,26.6,79
2015-09-23,Paris,Europe,48.86,2.35,17.2,10.4,13.2,0.0,17.1,77
2015-09-24,Paris,Europe,48.86,2.35,16.5,9.5,13.2,0.5,18.4,83
2015-09-25,Paris,Europe,48.86,2.35,17.7,9.6,14.3,0.0,9.8,79
2015-09-26,Paris,Europe,48.86,2.35,17.1,9.5,13.6,0.0,16.8,72
2015-09-27,Paris,Europe,48.86,2.35,19.1,9.1,14.0,0.0,22.1,69
2015-09-28,Paris,Europe,48.86,2.35,18.0,8.8,13.3,0.0,21.5,66
2015-09-29,Paris,Europe,48.86,2.35,18.2,9.3,13.4,0.0,26.3,60
2015-09-30,Paris,Europe,48.86,2.35,17.6,9.3,13.1,0.0,22.1,62
2015-10-01,Paris,Europe,48.86,2.35,15.9,7.9,11.9,0.0,24.3,60
2015-10-02,Paris,Europe,48.86,2.35,18.7,7.2,12.5,0.0,14.2,67
2015-10-03,Paris,Europe,48.86,2.35,19.3,9.0,13.5,0.2,9.0,75
2015-10-04,Paris,Europe,48.86,2.35,18.5,7.8,13.0,1.1,15.5,81
2015-10-05,Paris,Europe,48.86,2.35,17.6,13.0,15.3,12.2,16.3,89
2015-10-06,Paris,Europe,48.86,2.35,19.5,15.2,16.8,10.4,23.7,87
2015-10-07,Paris,Europe,48.86,2.35,16.3,11.0,14.2,1.6,22.9,72
2015-10-08,Paris,Europe,48.86,2.35,15.3,8.8,12.1,0.0,11.0,73
2015-10-09,Paris,Europe,48.86,2.35,15.1,9.7,12.3,0.0,13.0,77
2015-10-10,Paris,Europe,48.86,2.35,16.6,8.3,12.2,0.0,18.9,83
2015-10-11,Paris,Europe,48.86,2.35,15.7,8.9,12.1,0.0,17.3,78
2015-10-12,Paris,Europe,48.86,2.35,14.5,8.1,11.3,0.0,13.2,78
2015-10-13,Paris,Europe,48.86,2.35,11.7,6.8,8.8,0.0,19.7,75
2015-10-14,Paris,Europe,48.86,2.35,10.1,4.5,7.3,0.9,17.3,76
2015-10-15,Paris,Europe,48.86,2.35,7.8,4.1,5.8,0.0,25.0,79
2015-10-16,Paris,Europe,48.86,2.35,7.8,3.4,6.2,3.8,11.9,89
2015-10-17,Paris,Europe,48.86,2.35,13.3,7.2,9.9,0.5,10.2,88
2015-10-18,Paris,Europe,48.86,2.35,10.9,7.6,9.2,0.0,11.8,86
2015-10-19,Paris,Europe,48.86,2.35,14.3,4.3,9.6,0.0,12.2,85
2015-10-20,Paris,Europe,48.86,2.35,12.6,8.7,10.4,0.1,10.7,89
2015-10-21,Paris,Europe,48.86,2.35,13.3,4.8,9.5,1.5,14.0,89
2015-10-22,Paris,Europe,48.86,2.35,15.3,10.4,12.7,0.9,16.6,89
2015-10-23,Paris,Europe,48.86,2.35,13.8,9.4,11.7,0.0,7.4,79
2015-10-24,Paris,Europe,48.86,2.35,15.3,8.9,11.8,0.0,16.3,85
2015-10-25,Paris,Europe,48.86,2.35,13.4,9.8,11.8,0.0,15.8,83
2015-10-26,Paris,Europe,48.86,2.35,17.5,9.4,12.4,0.0,14.8,88
2015-10-27,Paris,Europe,48.86,2.35,19.8,10.2,14.0,3.4,13.6,81
2015-10-28,Paris,Europe,48.86,2.35,14.6,9.3,12.9,6.9,13.2,90
2015-10-29,Paris,Europe,48.86,2.35,14.6,7.6,10.9,0.0,15.8,85
2015-10-30,Paris,Europe,48.86,2.35,16.0,7.8,11.3,0.0,14.3,86
